,,,,,
,run1,,,,
parallel1,2633.08, 0.18, 43:53.55, 99, 
parallel12,32379.14, 28.00, 45:01.19, 1199, 
parallel24,66977.18, 6.54, 46:37.42, 2394, 
parallel48,154458.05, 84.01, 54:08.31, 4757, 
,,,,,
,run2,,,,
parallel1,2629.57, 0.17, 43:50.03, 99, 
parallel12,32391.57, 15.09, 45:03.08, 1198, 
parallel24,2787.43, 3.11, 46:28.92, 100, 
parallel48,153700.06, 54.08, 53:32.78, 4785, 
,,,,,
,run3,,,,
parallel1,2632.07, 2.75, 43:51.21, 100, 
parallel12,32390.70, 22.66, 45:00.01, 1200, 
parallel24,67174.20, 37.83, 46:39.03, 2401, 
parallel48,155430.76, 92.37, 55:14.69, 4691, 
