GPU processors,avg,error_bar,run1,run1,run3
1,264.52,1.56,266.37,263.95,263.25
4,272.07,12.02,264.62,287.82,263.78
8,265.66,0.48,265.13,265.77,266.09
12,265.33,0.54,264.75,265.4,265.83
16,269.35,0.51,269.3,268.86,269.88
20,273.3,1.47,275.25,272.35,272.31
24,279.99,5.285,285.81,275.24,278.93
28,303.21,3.29,299.86,303.33,306.44
32,306.07,5.145,303.81,312.34,302.05
36,312.47,3.18,309.53,311.98,315.89
40,316.04,3.265,318.27,318.12,311.74
44,329.51,6.055,326.99,336.83,324.72
48,327.28,3.325,323.32,329.97,328.54
