,,,,,
,run1,,,,
serial,2.62, 0.00, 0:02.62, 99, 
parallel1,2.73, 0.11, 0:02.93, 97, 
parallel4,2.86, 0.54, 0:00.96, 351, 
parallel8,3.01, 1.29, 0:00.67, 643, 
parallel12,3.26, 2.13, 0:00.61, 883, 
parallel16,3.57, 3.17, 0:00.60, 1117, 
parallel20,4.00, 4.31, 0:00.63, 1308, 
parallel24,4.79, 6.01, 0:00.70, 1542, 
parallel28,5.13, 8.60, 0:00.82, 1670, 
parallel32,6.42, 10.75, 0:00.88, 1936, 
parallel36,6.54, 12.78, 0:00.91, 2118, 
parallel40,8.24, 15.83, 0:01.09, 2203, 
parallel44,9.39, 17.34, 0:01.16, 2294, 
parallel48,10.01, 21.53, 0:01.27, 2484, 
,,,,,
,run2,,,,
serial,2.62, 0.00, 0:02.62, 99, 
parallel1,2.71, 0.12, 0:02.88, 98, 
parallel4,2.91, 0.57, 0:00.99, 349, 
parallel8,3.04, 1.26, 0:00.67, 642, 
parallel12,3.30, 2.16, 0:00.61, 887, 
parallel16,3.63, 3.23, 0:00.61, 1118, 
parallel20,3.98, 4.44, 0:00.64, 1313, 
parallel24,4.52, 5.83, 0:00.69, 1488, 
parallel28,5.34, 8.46, 0:00.80, 1721, 
parallel32,6.22, 11.08, 0:00.88, 1949, 
parallel36,6.47, 13.33, 0:00.93, 2128, 
parallel40,9.43, 17.69, 0:01.18, 2283, 
parallel44,9.89, 17.64, 0:01.20, 2293, 
parallel48,11.27, 21.03, 0:01.35, 2381, 
,,,,,
,run3,,,,
serial,2.62, 0.00, 0:02.62, 99, 
parallel1,2.71, 0.12, 0:02.89, 98, 
parallel4,2.85, 0.55, 0:00.97, 351, 
parallel8,3.04, 1.26, 0:00.66, 643, 
parallel12,3.25, 2.21, 0:00.61, 889, 
parallel16,3.59, 3.22, 0:00.60, 1125, 
parallel20,4.01, 4.46, 0:00.63, 1326, 
parallel24,4.47, 5.92, 0:00.68, 1511, 
parallel28,5.13, 8.64, 0:00.79, 1740, 
parallel32,6.36, 10.39, 0:00.86, 1941, 
parallel36,7.39, 13.66, 0:01.00, 2097, 
parallel40,7.97, 15.16, 0:01.02, 2269, 
parallel44,9.62, 17.90, 0:01.17, 2334, 
parallel48,9.98, 20.53, 0:01.26, 2405, 
