,,,,,
,run1,,,,
parallel1,262.70, 0.13, 4:22.96, 99, 
parallel4,1059.15, 1.56, 4:25.35, 399, 
parallel8,2114.84, 2.07, 4:24.69, 799, 
parallel12,3173.84, 5.09, 4:24.75, 1200, 
parallel16,4372.03, 5.04, 4:34.29, 1595, 
parallel20,5456.00, 8.74, 4:33.27, 1999, 
parallel24,6693.51, 7.99, 4:45.26, 2349, 
parallel28,8366.73, 9.36, 5:00.20, 2790, 
parallel32,9890.13, 13.91, 5:37.19, 2937, 
parallel36,11107.51, 16.92, 5:11.68, 3569, 
parallel40,17340.58, 22.15, 7:29.16, 3865, 
parallel44,14206.48, 22.17, 5:25.05, 4377, 
parallel48,311.67, 0.67, 5:14.27, 99, 
,,,,,
,run2,,,,
parallel1,263.18, 0.38, 4:23.28, 100, 
parallel4,1054.30, 1.56, 4:23.74, 400, 
parallel8,2117.32, 3.09, 4:24.97, 800, 
parallel12,3178.42, 3.95, 4:25.40, 1199, 
parallel16,4361.82, 5.82, 4:33.01, 1599, 
parallel20,5469.15, 7.36, 4:34.43, 1995, 
parallel24,6750.99, 9.45, 4:45.64, 2366, 
parallel28,8371.24, 9.80, 5:02.34, 2771, 
parallel32,9897.14, 11.33, 5:14.28, 3152, 
parallel36,10972.02, 15.81, 5:06.50, 3584, 
parallel40,12544.54, 20.70, 5:15.39, 3983, 
parallel44,14445.48, 21.91, 5:32.55, 4350, 
parallel48,302.80, 0.55, 5:05.26, 99, 
,,,,,
,run3,,,,
parallel1,262.88, 0.14, 4:23.15, 99, 
parallel4,1056.93, 1.32, 4:24.46, 400, 
parallel8,2114.29, 1.80, 4:24.67, 799, 
parallel12,3185.65, 4.22, 4:25.83, 1199, 
parallel16,4293.44, 4.70, 4:29.19, 1596, 
parallel20,5748.18, 8.60, 4:47.83, 2000, 
parallel24,6578.89, 6.35, 4:34.75, 2396, 
parallel28,8329.31, 11.64, 5:01.83, 2763, 
parallel32,9839.57, 14.89, 5:12.39, 3154, 
parallel36,11038.09, 15.47, 5:08.17, 3586, 
parallel40,12303.70, 20.77, 5:11.97, 3950, 
parallel44,319.64, 0.72, 5:21.97, 99, 
parallel48,304.22, 0.75, 5:07.27, 99, 
