,,,,,
,run1,,,,
parallel1,2.72, 0.12, 0:02.93, 97, 
parallel4,10.76, 0.55, 0:02.94, 384, 
parallel8,21.51, 1.32, 0:02.98, 765, 
parallel12,32.63, 2.20, 0:03.07, 1133, 
parallel16,43.93, 3.28, 0:03.14, 1501, 
parallel20,55.80, 4.43, 0:03.24, 1858, 
parallel24,67.81, 6.07, 0:03.34, 2206, 
parallel28,85.24, 8.23, 0:03.66, 2549, 
parallel32,100.67, 10.50, 0:03.87, 2869, 
parallel36,113.16, 12.74, 0:03.90, 3223, 
parallel40,133.47, 15.43, 0:04.23, 3515, 
parallel44,143.46, 18.76, 0:04.29, 3774, 
parallel48,165.96, 21.06, 0:04.66, 4013, 
,,,,,
,run2,,,,
parallel1,2.70, 0.13, 0:02.88, 98, 
parallel4,10.78, 0.55, 0:02.95, 384, 
parallel8,21.75, 1.23, 0:03.03, 757, 
parallel12,32.49, 2.23, 0:03.06, 1134, 
parallel16,44.20, 3.26, 0:03.16, 1500, 
parallel20,55.56, 4.53, 0:03.22, 1861, 
parallel24,67.49, 5.92, 0:03.32, 2206, 
parallel28,116.15, 8.46, 0:05.06, 2460, 
parallel32,100.80, 10.52, 0:03.83, 2902, 
parallel36,114.32, 12.11, 0:03.93, 3211, 
parallel40,128.53, 16.46, 0:04.13, 3507, 
parallel44,144.73, 18.80, 0:04.30, 3796, 
parallel48,157.40, 21.36, 0:04.43, 4029, 
,,,,,
,run3,,,,
parallel1,2.71, 0.12, 0:02.90, 97, 
parallel4,10.80, 0.55, 0:02.95, 384, 
parallel8,21.50, 1.28, 0:02.99, 761, 
parallel12,33.36, 2.09, 0:03.14, 1127, 
parallel16,43.99, 3.23, 0:03.16, 1494, 
parallel20,55.63, 4.55, 0:03.24, 1857, 
parallel24,67.68, 5.98, 0:03.33, 2206, 
parallel28,86.09, 8.33, 0:03.70, 2550, 
parallel32,98.54, 10.73, 0:03.76, 2900, 
parallel36,112.78, 13.19, 0:03.94, 3195, 
parallel40,128.20, 15.81, 0:04.10, 3508, 
parallel44,159.85, 18.50, 0:04.66, 3821, 
parallel48,162.97, 22.91, 0:04.52, 4105, 
